file,text,xmin,xmax,sentence,word_in_sentence
0,this,1.18,1.45,1,0
0,was,1.45,1.61,1,1
0,easy,1.61,1.83,1,2
0,for,1.83,2.04,1,3
0,us,2.04,2.38,1,4
0,jane,3.82,4.1,2,0
0,may,4.1,4.24,2,1
0,earn,4.24,4.57,2,2
0,more,4.57,4.76,2,3
0,money,4.76,5.03,2,4
0,by,5.03,5.18,2,5
0,working,5.18,5.56,2,6
0,hard,5.56,5.89,2,7
0,she,7.91,8.17,3,0
0,is,8.17,8.32,3,1
0,thinner,8.39,8.67,3,2
0,than,8.67,8.8,3,3
0,i,8.8,8.89,3,4
0,am,8.89,9.26,3,5
0,bright,11.0,11.27,4,0
0,sunshine,11.27,11.76,4,1
0,shimmers,11.76,12.18,4,2
0,on,12.18,12.31,4,3
0,the,12.31,12.44,4,4
0,ocean,12.44,12.88,4,5
0,nothing,14.91,15.21,5,0
0,is,15.21,15.33,5,1
0,as,15.33,15.47,5,2
0,offensive,15.47,15.96,5,3
0,as,15.96,16.09,5,4
0,innocent,16.09,16.56,5,5
0,nothing,17.13,17.44,5,6
0,is,17.44,17.54,5,7
0,as,17.54,17.71,5,8
0,offensive,17.71,18.17,5,9
0,as,18.17,18.3,5,10
0,innocence,18.3,18.84,5,11
0,sorry,18.87,19.23,5,12
1,why,1.16,1.34,6,0
1,yell,1.34,1.61,6,1
1,or,1.61,1.7,6,2
1,worry,1.7,2.02,6,3
1,over,2.02,2.24,6,4
1,silly,2.24,2.62,6,5
1,items,2.62,3.14,6,6
1,where,4.57,4.79,7,0
1,were,4.79,4.92,7,1
1,you,4.92,5.13,7,2
1,while,5.13,5.41,7,3
1,we,5.41,5.54,7,4
1,were,5.54,5.7,7,5
1,away,5.7,6.08,7,6
1,are,8.34,8.42,8,0
1,your,8.42,8.57,8,1
1,grades,8.57,8.91,8,2
1,higher,8.91,9.23,8,3
1,or,9.23,9.35,8,4
1,lower,9.35,9.63,8,5
1,than,9.63,9.8,8,6
1,nancy's,9.8,10.38,8,7
1,he,12.82,13.01,9,0
1,will,13.01,13.14,9,1
1,allow,13.14,13.52,9,2
1,a,13.52,13.58,9,3
1,rare,13.58,13.87,9,4
1,lie,13.87,14.25,9,5
1,will,15.84,16.01,10,0
1,robin,16.01,16.43,10,1
1,wear,16.43,16.64,10,2
1,a,16.64,16.67,10,3
1,yellow,16.67,17.06,10,4
1,lily,17.06,17.53,10,5
2,swing,1.01,1.3,11,0
2,your,1.3,1.44,11,1
2,arm,1.44,1.67,11,2
2,as,1.67,1.8,11,3
2,high,1.8,2.05,11,4
2,as,2.05,2.17,11,5
2,you,2.17,2.25,11,6
2,can,2.25,2.63,11,7
2,before,4.37,4.7,12,0
2,thursday's,4.7,5.21,12,1
2,exam,5.21,5.6,12,2
2,review,5.6,5.94,12,3
2,every,5.94,6.24,12,4
2,formula,6.24,6.83,12,5
2,the,8.89,8.94,13,0
2,museum,8.94,9.37,13,1
2,hires,9.37,9.66,13,2
2,mushisha,9.66,9.69,13,3
2,musicians,9.72,10.2,13,4
2,every,10.38,10.48,13,5
2,evening,10.48,10.66,13,6
2,a,10.69,11.64,14,0
2,roll,13.28,13.61,14,1
2,of,13.61,13.75,14,2
2,wire,13.75,14.06,14,3
2,lay,14.06,14.25,14,4
2,near,14.25,14.51,14,5
2,their,14.51,14.63,14,6
2,a,14.63,14.66,14,7
2,roll,14.66,14.86,14,8
2,of,15.61,15.73,14,9
2,wire,15.73,15.82,14,10
2,lay,15.82,16.37,14,11
2,near,16.44,16.9,14,12
2,the,16.9,17.01,14,13
2,wall,17.01,17.37,14,14
2,carl,18.78,19.1,15,0
2,lived,19.1,19.38,15,1
2,in,19.38,19.48,15,2
2,a,19.48,19.55,15,3
2,lively,19.55,19.95,15,4
2,home,19.95,20.32,15,5
3,alimony,1.15,1.64,16,0
3,harms,1.64,2.05,16,1
3,a,2.05,2.09,16,2
3,div,2.09,2.27,16,3
3,a,2.43,2.5,16,4
3,div,2.5,3.31,16,5
3,sorry,3.61,3.95,16,6
3,a,4.56,5.5,16,7
3,divorced,5.53,6.02,16,8
3,man's,6.02,6.37,16,9
3,wealth,6.37,6.77,16,10
3,she,8.25,8.48,17,0
3,wore,8.48,8.67,17,1
3,warm,8.67,9.04,17,2
3,fleecy,9.04,9.48,17,3
3,woolen,9.48,9.83,17,4
3,overalls,9.83,10.54,17,5
3,alfalfa,12.08,12.58,18,0
3,is,12.58,12.73,18,1
3,healthy,12.73,13.01,18,2
3,for,13.01,13.17,18,3
3,you,13.17,13.44,18,4
3,when,15.12,15.24,19,0
3,all,15.24,15.42,19,1
3,else,15.42,15.65,19,2
3,fails,15.65,16.18,19,3
3,use,16.18,16.4,19,4
3,force,16.4,16.88,19,5
3,although,18.58,18.85,20,0
3,always,18.85,19.3,20,1
3,alone,19.3,19.7,20,2
3,we,19.7,19.81,20,3
3,survive,19.81,20.46,20,4
4,only,1.01,1.24,21,0
4,lawyers,1.24,1.76,21,1
4,love,1.76,1.97,21,2
4,millionaires,1.97,2.72,21,3
4,did,4.35,4.49,22,0
4,dad,4.49,4.77,22,1
4,do,4.77,4.93,22,2
4,academic,4.93,5.46,22,3
4,bidding,5.46,5.86,22,4
4,help,7.52,7.75,23,0
4,greg,7.75,8.02,23,1
4,to,8.02,8.12,23,2
4,pick,8.12,8.33,23,3
4,a,8.33,8.37,23,4
4,peck,8.37,8.63,23,5
4,of,8.63,8.78,23,6
4,potatoes,8.78,9.49,23,7
4,a,11.42,11.48,24,0
4,good,11.48,11.72,24,1
4,attitude,11.72,12.19,24,2
4,is,12.19,12.31,24,3
4,unbeatable,12.31,12.96,24,4
4,coconut,14.97,15.37,25,0
4,cream,15.37,15.63,25,1
4,pie,15.63,15.84,25,2
4,makes,15.84,16.13,25,3
4,a,16.13,16.17,25,4
4,nice,16.17,16.4,25,5
4,dessert,16.4,16.95,25,6
5,don't,1.21,1.44,26,0
5,do,1.44,1.53,26,1
5,charlie's,1.53,1.96,26,2
5,dirly,1.96,2.3,26,3
5,don't,3.05,3.32,26,4
5,do,3.32,3.44,26,5
5,charlie's,3.44,3.88,26,6
5,dirty,3.88,4.16,26,7
5,dishes,4.16,4.68,26,8
5,help,6.09,6.32,27,0
5,celebrate,6.32,6.8,27,1
5,your,6.8,6.9,27,2
5,brother's,6.9,7.26,27,3
5,success,7.26,7.92,27,4
5,only,9.92,10.14,28,0
5,the,10.14,10.24,28,1
5,most,10.24,10.52,28,2
5,accomplished,10.52,11.05,28,3
5,artists,11.08,11.41,28,4
5,obtain,11.41,11.8,28,5
5,popularity,11.8,12.58,28,6
5,critical,15.0,15.38,29,0
5,equipment,15.38,15.82,29,1
5,needs,15.82,16.03,29,2
5,proper,16.03,16.37,29,3
5,maintenance,16.37,16.99,29,4
5,young,19.55,19.79,30,0
5,people,19.79,20.14,30,1
5,participate,20.14,20.76,30,2
5,in,20.76,20.85,30,3
5,athletic,20.85,21.3,30,4
5,activities,21.3,22.01,30,5
6,barb's,1.24,1.57,31,0
6,gold,1.57,1.83,31,1
6,bracelet,1.83,2.24,31,2
6,was,2.24,2.37,31,3
6,a,2.37,2.41,31,4
6,graduation,2.41,3.05,31,5
6,present,3.05,3.43,31,6
6,stimulating,5.62,6.3,32,0
6,discussions,6.3,6.84,32,1
6,keep,6.84,7.07,32,2
6,students,7.07,7.44,32,3
6,attention,7.44,8.07,32,4
6,etiquette,10.38,10.72,33,0
6,mandates,10.72,11.19,33,1
6,compliance,11.19,11.73,33,2
6,with,11.73,11.83,33,3
6,existing,11.83,12.35,33,4
6,regulations,12.35,13.22,33,5
6,biblical,15.62,16.03,34,0
6,scholars,16.03,16.49,34,1
6,argue,16.49,16.82,34,2
6,history,16.82,17.4,34,3
6,elderly,19.29,19.67,35,0
6,people,19.67,20.0,35,1
6,are,20.0,20.18,35,2
6,often,20.23,20.59,35,3
6,sorry,20.86,21.15,35,4
6,elderly,21.23,21.6,35,5
6,people,21.6,21.88,35,6
6,are,21.88,21.99,35,7
6,often,21.99,22.28,35,8
6,excluded,22.28,22.88,35,9
7,basketball,0.93,1.44,36,0
7,can,1.44,1.62,36,1
7,be,1.62,1.74,36,2
7,an,1.74,1.83,36,3
7,entertaining,1.83,2.38,36,4
7,sport,2.38,2.8,36,5
7,addition,4.99,5.37,37,0
7,and,5.37,5.52,37,1
7,subtraction,5.52,6.08,37,2
7,are,6.08,6.18,37,3
7,learned,6.18,6.45,37,4
7,skills,6.45,7.03,37,5
7,grandmother,9.34,9.86,38,0
7,outgrew,9.86,10.26,38,1
7,her,10.26,10.37,38,2
7,upbringing,10.37,10.87,38,3
7,in,10.87,10.98,38,4
7,petticoats,10.98,11.71,38,5
7,at,14.31,14.45,39,0
7,twilight,14.45,14.86,39,1
7,on,14.86,14.98,39,2
7,the,14.98,15.03,39,3
7,twelfth,15.03,15.42,39,4
7,day,15.42,15.6,39,5
7,we'll,15.6,15.84,39,6
7,have,15.84,16.08,39,7
7,chablis,16.08,16.85,39,8
7,catastrophic,19.18,19.91,40,0
7,economic,19.91,20.41,40,1
7,cutbacks,20.41,20.98,40,2
7,neglect,21.01,21.45,40,3
7,the,21.45,21.51,40,4
7,poor,21.51,21.91,40,5
8,ambidextrous,0.91,1.64,41,0
8,pickpockets,1.64,2.25,41,1
8,accomplish,2.25,2.77,41,2
8,more,2.77,3.09,41,3
8,even,5.11,5.36,42,0
8,a,5.36,5.4,42,1
8,simple,5.4,5.77,42,2
8,vocabulary,5.77,6.43,42,3
8,contains,6.43,6.9,42,4
8,symbols,6.9,7.52,42,5
8,the,9.4,9.45,43,0
8,eastern,9.45,9.89,43,1
8,coast,9.89,10.2,43,2
8,is,10.2,10.32,43,3
8,a,10.32,10.36,43,4
8,place,10.36,10.62,43,5
8,for,10.62,10.74,43,6
8,pure,10.74,10.99,43,7
8,pleasure,10.99,11.47,43,8
8,and,11.47,11.59,43,9
8,excitement,11.59,12.14,43,10
8,the,15.1,15.17,44,0
8,lack,15.17,15.42,44,1
8,of,15.42,15.6,44,2
8,heat,15.6,15.77,44,3
8,compounded,15.77,16.26,44,4
8,the,16.26,16.33,44,5
8,tenant's,16.33,16.73,44,6
8,grievances,16.73,17.5,44,7
8,academic,20.19,20.67,45,0
8,aptitude,20.67,21.22,45,1
8,guarantees,21.22,21.79,45,2
8,your,21.79,21.88,45,3
8,diploma,21.88,22.46,45,4
9,the,0.85,0.91,46,0
9,prowler,0.91,1.31,46,1
9,wore,1.31,1.52,46,2
9,a,1.52,1.59,46,3
9,ski,1.59,1.85,46,4
9,mask,1.85,2.17,46,5
9,for,2.21,2.32,46,6
9,disguise,2.32,3.01,46,7
9,we,4.89,4.96,47,0
9,experience,4.96,5.5,47,1
9,distress,5.5,5.98,47,2
9,and,5.98,6.09,47,3
9,frustration,6.09,6.67,47,4
9,obtaining,6.67,7.13,47,5
9,our,7.13,7.25,47,6
9,degrees,7.25,7.87,47,7
9,the,10.53,10.59,48,0
9,singer's,10.59,11.0,48,1
9,finger,11.0,11.3,48,2
9,had,11.3,11.49,48,3
9,a,11.49,11.54,48,4
9,splinter,11.54,12.09,48,5
9,the,14.4,14.47,49,0
9,legislature,14.47,15.07,49,1
9,met,15.07,15.3,49,2
9,to,15.3,15.43,49,3
9,judge,15.43,15.79,49,4
9,the,15.79,15.84,49,5
9,state,15.84,16.13,49,6
9,of,16.13,16.26,49,7
9,public,16.26,16.61,49,8
9,education,16.61,17.33,49,9
9,chocolate,19.88,20.26,50,0
9,and,20.26,20.41,50,1
9,roses,20.41,20.83,50,2
9,never,20.83,21.13,50,3
9,fail,21.13,21.41,50,4
9,as,21.41,21.56,50,5
9,a,21.56,21.61,50,6
9,romantic,21.61,22.09,50,7
9,gift,22.09,22.48,50,8
10,any,1.16,1.34,51,0
10,contributions,1.34,2.11,51,1
10,will,2.11,2.19,51,2
10,be,2.19,2.29,51,3
10,greatly,2.29,2.68,51,4
10,appreciated,2.68,3.47,51,5
10,continental,5.52,6.11,52,0
10,drift,6.11,6.44,52,1
10,is,6.44,6.56,52,2
10,a,6.56,6.62,52,3
10,geological,6.62,7.27,52,4
10,theory,7.3,7.7,52,5
10,regular,9.77,10.11,53,0
10,attendance,10.11,10.64,53,1
10,is,10.64,10.74,53,2
10,seldom,10.74,11.11,53,3
10,required,11.11,11.64,53,4
10,challenge,13.58,14.05,54,0
10,each,14.05,14.26,54,1
10,general's,14.26,14.71,54,2
10,intelligence,14.71,15.6,54,3
10,we,17.54,17.67,55,0
10,got,17.67,17.89,55,1
10,drenched,17.89,18.27,55,2
10,from,18.27,18.43,55,3
10,the,18.43,18.51,55,4
10,uninterrupted,18.51,19.25,55,5
10,rain,19.25,19.63,55,6
11,last,0.98,1.3,56,0
11,year's,1.3,1.49,56,1
11,gas,1.49,1.77,56,2
11,shortage,1.77,2.18,56,3
11,caused,2.18,2.4,56,4
11,steep,2.4,2.72,56,5
11,price,2.72,3.02,56,6
11,increases,3.02,3.69,56,7
11,upgrade,6.25,6.63,57,0
11,your,6.63,6.72,57,1
11,status,6.72,7.17,57,2
11,to,7.17,7.28,57,3
11,reflect,7.28,7.68,57,4
11,your,7.68,7.78,57,5
11,wealth,7.78,8.19,57,6
11,eat,10.53,10.69,58,0
11,your,10.69,10.8,58,1
11,raisins,10.8,11.24,58,2
11,outdoors,11.24,11.72,58,3
11,on,11.72,11.83,58,4
11,the,11.83,11.89,58,5
11,porch,11.89,12.25,58,6
11,steps,12.25,12.81,58,7
11,porcupines,15.01,15.6,59,0
11,resemble,15.6,15.98,59,1
11,sea,15.98,16.25,59,2
11,urch,16.25,16.45,59,3
11,uh,16.87,16.88,59,4
11,porcupines,17.28,17.78,59,5
11,resemble,17.78,18.14,59,6
11,sea,18.14,18.4,59,7
11,urchins,18.4,18.95,59,8
11,spring,20.64,21.01,60,0
11,street,21.01,21.29,60,1
11,is,21.29,21.38,60,2
11,straight,21.38,21.67,60,3
11,ahead,21.67,22.05,60,4
12,cliff's,1.07,1.41,61,0
12,display,1.41,1.85,61,1
12,was,1.85,2.02,61,2
12,misplaced,2.02,2.53,61,3
