file,text,xmin,xmax,sentence,word_in_sentence
0,this,0.78,0.95,1,0
0,was,0.95,1.15,1,1
0,easy,1.15,1.38,1,2
0,for,1.38,1.62,1,3
0,us,1.62,2.05,1,4
0,jane,2.73,3.02,2,0
0,may,3.02,3.19,2,1
0,earn,3.19,3.41,2,2
0,more,3.41,3.59,2,3
0,money,3.59,3.91,2,4
0,by,3.91,4.08,2,5
0,working,4.08,4.47,2,6
0,hard,4.47,4.89,2,7
0,she,6.96,7.17,3,0
0,is,7.17,7.37,3,1
0,thinner,7.37,7.66,3,2
0,than,7.66,7.79,3,3
0,i,7.79,7.94,3,4
0,am,7.94,8.26,3,5
0,bright,10.18,10.47,4,0
0,sunshine,10.47,10.98,4,1
0,shimmers,10.98,11.43,4,2
0,on,11.43,11.56,4,3
0,the,11.56,11.68,4,4
0,ocean,11.68,12.13,4,5
0,nothing,14.34,14.71,5,0
0,is,14.71,14.85,5,1
0,as,14.85,15.01,5,2
0,offensive,15.01,15.54,5,3
0,as,15.54,15.72,5,4
0,innocence,15.72,16.47,5,5
1,why,1.55,1.77,6,0
1,yell,1.77,2.08,6,1
1,or,2.08,2.2,6,2
1,worry,2.2,2.59,6,3
1,over,2.59,2.8,6,4
1,silly,2.8,3.17,6,5
1,items,3.17,3.7,6,6
1,where,5.45,5.69,7,0
1,were,5.69,5.83,7,1
1,you,5.83,6.07,7,2
1,while,6.07,6.22,7,3
1,you,6.22,6.41,7,4
1,were,6.41,6.62,7,5
1,away,6.62,7.06,7,6
1,are,9.27,9.37,8,0
1,your,9.37,9.52,8,1
1,grades,9.52,9.89,8,2
1,higher,9.89,10.23,8,3
1,or,10.23,10.38,8,4
1,lower,10.38,10.71,8,5
1,than,10.71,10.9,8,6
1,nancy's,10.9,11.56,8,7
1,he,13.93,14.08,9,0
1,will,14.08,14.25,9,1
1,allow,14.25,14.65,9,2
1,a,14.65,14.73,9,3
1,rare,14.73,15.06,9,4
1,lie,15.06,15.51,9,5
1,will,17.24,17.47,10,0
1,robin,17.47,17.85,10,1
1,wear,17.85,18.11,10,2
1,a,18.11,18.14,10,3
1,yellow,18.14,18.47,10,4
1,lily,18.47,18.9,10,5
2,swing,0.63,0.95,11,0
2,your,0.95,1.13,11,1
2,arm,1.13,1.44,11,2
2,as,1.44,1.58,11,3
2,high,1.58,1.78,11,4
2,as,1.78,1.94,11,5
2,you,1.94,2.0,11,6
2,can,2.0,2.46,11,7
2,before,4.38,4.7,12,0
2,thursday's,4.7,5.26,12,1
2,exam,5.26,5.75,12,2
2,review,5.75,6.14,12,3
2,every,6.14,6.4,12,4
2,formula,6.4,7.01,12,5
2,the,9.08,9.16,13,0
2,museum,9.16,9.64,13,1
2,hires,9.64,10.04,13,2
2,musicians,10.04,10.61,13,3
2,every,10.61,10.88,13,4
2,evening,10.88,11.42,13,5
2,a,13.79,13.86,14,0
2,roll,13.86,14.18,14,1
2,of,14.18,14.29,14,2
2,wire,14.29,14.72,14,3
2,lay,14.72,14.94,14,4
2,near,14.94,15.2,14,5
2,the,15.2,15.32,14,6
2,wall,15.32,15.77,14,7
2,carl,17.49,17.83,15,0
2,lives,17.83,18.18,15,1
2,in,18.18,18.28,15,2
2,a,18.28,18.34,15,3
2,lively,18.34,18.79,15,4
2,home,18.79,19.22,15,5
3,alimony,0.7,1.33,16,0
3,harms,1.33,1.73,16,1
3,a,1.73,1.79,16,2
3,divorced,1.79,2.31,16,3
3,man's,2.31,2.67,16,4
3,wealth,2.67,3.15,16,5
3,she,5.08,5.25,17,0
3,wore,5.25,5.57,17,1
3,wom,5.57,6.0,17,2
3,warm,6.09,6.54,17,3
3,fleecy,6.54,7.01,17,4
3,woolen,7.01,7.39,17,5
3,overalls,7.39,8.15,17,6
3,alfalfa,9.22,9.81,18,0
3,is,9.81,9.97,18,1
3,healthy,9.97,10.29,18,2
3,for,10.29,10.46,18,3
3,you,10.46,10.75,18,4
3,when,12.35,12.52,19,0
