file,text,sentence,word_in_sentence
0,am,3,5
0,bright,4,0
0,by,2,5
0,earn,2,2
0,easy,1,2
0,for,1,3
0,hard,2,7
0,i,3,4
0,is,3,1
0,jane,2,0
0,may,2,1
0,money,2,4
0,more,2,3
0,ocean,4,5
0,on,4,3
0,she,3,0
0,shimmers,4,2
0,sunshine,4,1
0,than,3,3
0,the,4,4
0,thinner,3,2
0,this,1,0
0,us,1,4
0,was,1,1
0,working,2,6
1,a,9,3
1,a,10,3
1,allow,9,2
1,are,8,0
1,away,7,6
1,he,9,0
1,higher,8,3
1,items,6,6
1,lie,9,5
1,lily,10,5
1,lower,8,5
1,nancy's,8,7
1,or,6,2
1,or,8,4
1,over,6,4
1,rare,9,4
1,robin,10,1
1,silly,6,5
1,than,8,6
1,wear,10,2
1,were,7,1
1,were,7,5
1,where,7,0
1,while,7,3
1,why,6,0
1,will,9,1
1,will,10,0
1,worry,6,3
1,yell,6,1
1,yellow,10,4
1,you,7,2
2,a,14,0
2,a,15,3
2,arm,11,2
2,as,11,3
2,as,11,5
2,before,12,0
2,can,11,7
2,carl,15,0
2,every,12,4
2,exam,12,2
2,formula,12,5
2,high,11,4
2,hires,13,2
2,home,15,5
2,in,15,2
2,lay,14,4
2,lively,15,4
2,museum,13,1
2,near,14,5
2,of,14,2
2,review,12,3
2,roll,14,1
2,swing,11,0
2,the,13,0
2,thursday's,12,1
2,wire,14,3
2,you,11,6
2,your,11,1
3,a,16,2
3,alfalfa,18,0
3,alimony,16,0
3,all,19,1
3,alone,20,2
3,although,20,0
3,always,20,1
3,else,19,2
3,fails,19,3
3,for,18,3
3,force,19,5
3,harms,16,1
3,healthy,18,2
3,is,18,1
3,she,17,0
3,survive,20,4
3,use,19,4
3,we,20,3
3,when,19,0
3,wore,17,1
3,you,18,4
4,a,23,4
4,a,24,0
4,a,25,4
4,academic,22,3
4,attitude,24,2
4,bidding,22,4
4,coconut,25,0
4,cream,25,1
4,dad,22,1
4,dessert,25,6
4,did,22,0
4,do,22,2
4,good,24,1
4,greg,23,1
4,help,23,0
4,is,24,3
4,lawyers,21,1
4,love,21,2
4,makes,25,3
4,millionaires,21,3
4,nice,25,5
4,of,23,6
4,only,21,0
4,peck,23,5
4,pick,23,3
4,pie,25,2
4,potatoes,23,7
4,to,23,2
4,unbeatable,24,4
5,brother's,27,3
5,celebrate,27,1
5,charlie's,26,2
5,critical,29,0
5,do,26,1
5,don't,26,0
5,equipment,29,1
5,help,27,0
5,in,30,3
5,maintenance,29,4
5,needs,29,2
5,participate,30,2
5,people,30,1
5,proper,29,3
5,success,27,4
5,young,30,0
5,your,27,2
6,are,35,2
6,argue,34,2
6,attention,32,4
6,biblical,34,0
6,elderly,35,0
6,history,34,3
6,keep,32,2
6,often,35,3
6,people,35,1
6,stimulating,32,0
6,students,32,3
6,with,33,3
7,addition,37,0
7,an,36,3
7,and,37,1
7,are,37,3
7,at,39,0
7,be,36,2
7,can,36,1
7,chablis,39,8
7,day,39,5
7,economic,40,1
7,grandmother,38,0
7,have,39,7
7,her,38,2
7,in,38,4
7,learned,37,4
7,neglect,40,3
7,on,39,2
7,outgrew,38,1
7,petticoats,38,5
7,poor,40,5
7,skills,37,5
7,subtraction,37,2
7,the,39,3
7,the,40,4
7,twelfth,39,4
7,twilight,39,1
7,upbringing,38,3
7,we'll,39,6
8,a,42,1
8,a,43,4
8,academic,45,0
8,accomplish,41,2
8,and,43,9
8,aptitude,45,1
8,coast,43,2
8,compounded,44,4
8,contains,42,4
8,diploma,45,4
8,eastern,43,1
8,even,42,0
8,excitement,43,10
8,for,43,6
8,guarantees,45,2
8,heat,44,3
8,is,43,3
8,lack,44,1
8,more,41,3
8,of,44,2
8,pickpockets,41,1
8,place,43,5
8,pleasure,43,8
8,pure,43,7
8,simple,42,2
8,symbols,42,5
8,the,43,0
8,the,44,0
8,the,44,5
8,your,45,3
