file,text,sentence,word_in_sentence
0,bright,4,0
0,earn,2,2
0,easy,1,2
0,hard,2,7
0,jane,2,0
0,may,2,1
0,money,2,4
0,ocean,4,5
0,shimmers,4,2
0,sunshine,4,1
0,thinner,3,2
0,us,1,4
0,working,2,6
1,allow,9,2
1,away,7,6
1,higher,8,3
1,items,6,6
1,lie,9,5
1,lily,10,5
1,lower,8,5
1,nancy's,8,7
1,rare,9,4
1,robin,10,1
1,silly,6,5
1,wear,10,2
1,worry,6,3
1,yell,6,1
1,yellow,10,4
2,arm,11,2
2,carl,15,0
2,every,12,4
2,exam,12,2
2,formula,12,5
2,high,11,4
2,hires,13,2
2,home,15,5
2,lay,14,4
2,lively,15,4
2,museum,13,1
2,near,14,5
2,review,12,3
2,roll,14,1
2,swing,11,0
2,thursday's,12,1
2,wire,14,3
3,alfalfa,18,0
3,alimony,16,0
3,alone,20,2
3,although,20,0
3,always,20,1
3,else,19,2
3,fails,19,3
3,force,19,5
3,harms,16,1
3,healthy,18,2
3,survive,20,4
3,use,19,4
3,wore,17,1
4,academic,22,3
4,attitude,24,2
4,bidding,22,4
4,coconut,25,0
4,cream,25,1
4,dad,22,1
4,dessert,25,6
4,good,24,1
4,greg,23,1
4,help,23,0
4,lawyers,21,1
4,love,21,2
4,makes,25,3
4,millionaires,21,3
4,nice,25,5
4,peck,23,5
4,pick,23,3
4,pie,25,2
4,potatoes,23,7
4,unbeatable,24,4
5,brother's,27,3
5,celebrate,27,1
5,charlie's,26,2
5,critical,29,0
5,equipment,29,1
5,help,27,0
5,maintenance,29,4
5,needs,29,2
5,participate,30,2
5,people,30,1
5,proper,29,3
5,success,27,4
5,young,30,0
6,argue,34,2
6,attention,32,4
6,biblical,34,0
6,elderly,35,0
6,history,34,3
6,keep,32,2
6,often,35,3
6,people,35,1
6,stimulating,32,0
6,students,32,3
7,addition,37,0
7,chablis,39,8
7,day,39,5
7,economic,40,1
7,grandmother,38,0
7,learned,37,4
7,neglect,40,3
7,outgrew,38,1
7,petticoats,38,5
7,poor,40,5
7,skills,37,5
7,subtraction,37,2
7,twelfth,39,4
7,twilight,39,1
7,upbringing,38,3
8,academic,45,0
8,accomplish,41,2
8,aptitude,45,1
8,coast,43,2
8,compounded,44,4
8,contains,42,4
8,diploma,45,4
8,eastern,43,1
8,even,42,0
8,excitement,43,10
8,guarantees,45,2
8,heat,44,3
8,lack,44,1
8,pickpockets,41,1
8,place,43,5
8,pleasure,43,8
8,pure,43,7
8,simple,42,2
8,symbols,42,5
9,chocolate,50,0
9,degrees,47,7
9,distress,47,2
9,experience,47,1
9,fail,50,4
9,finger,48,2
9,frustration,47,4
9,gift,50,8
9,mask,46,5
9,never,50,3
9,obtaining,47,5
9,prowler,46,1
9,romantic,50,7
9,roses,50,2
9,singer's,48,1
9,ski,46,4
9,splinter,48,5
9,wore,46,2
10,appreciated,51,5
10,attendance,53,1
10,challenge,54,0
10,continental,52,0
10,contributions,51,1
10,drenched,55,2
10,drift,52,1
10,general's,54,2
10,geological,52,4
10,got,55,1
10,greatly,51,4
10,intelligence,54,3
10,rain,55,6
10,required,53,4
10,seldom,53,3
10,theory,52,5
11,ahead,60,4
11,caused,56,4
11,eat,58,0
11,gas,56,2
11,last,56,0
11,outdoors,58,3
11,porch,58,6
11,porcupines,59,0
11,price,56,6
11,raisins,58,2
11,reflect,57,4
11,resemble,59,1
11,sea,59,2
11,shortage,56,3
11,status,57,2
11,steep,56,5
11,steps,58,7
11,straight,60,3
11,street,60,1
11,wealth,57,6
11,year's,56,1
12,bongos,65,2
12,box,64,7
12,canteen,63,2
12,cliff's,61,0
